,preprocessing,dimred,n_components,n_neighbors,min_dist,perplexity,clustering,k,silhouette,stability_ari
55,raw,umap,2,5.0,0.5,,kmeans,4,0.3625480532646179,0.9517671241705622
56,raw,umap,2,5.0,0.5,,kmeans,5,0.3453129827976227,0.9562660026476165
57,raw,umap,2,5.0,0.5,,gmm,3,0.3905330300331116,0.9281155004059295
58,raw,umap,2,5.0,0.5,,gmm,4,0.3506711423397064,0.4955582357483834
59,raw,umap,2,5.0,0.5,,gmm,5,0.3314935266971588,0.6123333314707105
60,raw,umap,2,5.0,0.5,,hierarchical,3,0.3657851219177246,0.48077806421804625
61,raw,umap,2,5.0,0.5,,hierarchical,4,0.3111205995082855,0.49086289752398093
62,raw,umap,2,5.0,0.5,,hierarchical,5,0.31459277868270874,0.44277782077217703
63,raw,umap,2,15.0,0.0,,kmeans,3,0.4480437636375427,0.8451643836801
64,raw,umap,2,15.0,0.0,,kmeans,4,0.4530393183231354,0.9970210827258664
65,raw,umap,2,15.0,0.0,,kmeans,5,0.44984322786331177,1.0
66,raw,umap,2,15.0,0.0,,gmm,3,0.4412669837474823,0.8068286627136481
67,raw,umap,2,15.0,0.0,,gmm,4,0.4146950840950012,0.5412313372517034
68,raw,umap,2,15.0,0.0,,gmm,5,0.4468615651130676,0.7568993285858974
69,raw,umap,2,15.0,0.0,,hierarchical,3,0.3960301876068115,0.9587815732956072
70,raw,umap,2,15.0,0.0,,hierarchical,4,0.4336744248867035,0.9961505585750501
71,raw,umap,2,15.0,0.0,,hierarchical,5,0.43987053632736206,0.9892818819509311
72,raw,umap,2,15.0,0.1,,kmeans,3,0.41523829102516174,0.9743126860886453
73,raw,umap,2,15.0,0.1,,kmeans,4,0.4350658357143402,0.9927778650016363
74,raw,umap,2,15.0,0.1,,kmeans,5,0.42877233028411865,0.9772920235479912
75,raw,umap,2,15.0,0.1,,gmm,3,0.38873204588890076,0.6631230273103074
76,raw,umap,2,15.0,0.1,,gmm,4,0.41368216276168823,0.8330493973491271
77,raw,umap,2,15.0,0.1,,gmm,5,0.36872872710227966,0.7139737652016974
78,raw,umap,2,15.0,0.1,,hierarchical,3,0.39009860157966614,0.9675896474293278
79,raw,umap,2,15.0,0.1,,hierarchical,4,0.3841541111469269,0.8021048310987703
80,raw,umap,2,15.0,0.1,,hierarchical,5,0.40305861830711365,0.9911522766486681
81,raw,umap,2,15.0,0.5,,kmeans,3,0.41880613565444946,0.9922263804618829
82,raw,umap,2,15.0,0.5,,kmeans,4,0.4100308120250702,0.9568624502590077
83,raw,umap,2,15.0,0.5,,kmeans,5,0.40654104948043823,0.9929126306868394
84,raw,umap,2,15.0,0.5,,gmm,3,0.37971213459968567,0.9647483790339259
85,raw,umap,2,15.0,0.5,,gmm,4,0.35553979873657227,0.5792404850321846
86,raw,umap,2,15.0,0.5,,gmm,5,0.3714289963245392,0.5486391356300263
87,raw,umap,2,15.0,0.5,,hierarchical,3,0.40783387422561646,0.841099948399509
88,raw,umap,2,15.0,0.5,,hierarchical,4,0.3995357155799866,0.8241797281789558
89,raw,umap,2,15.0,0.5,,hierarchical,5,0.38779884576797485,0.8385165415729161
90,raw,umap,2,30.0,0.0,,kmeans,3,0.4611019790172577,0.999566844820724
91,raw,umap,2,30.0,0.0,,kmeans,4,0.4539792239665985,0.9949638774242645
92,raw,umap,2,30.0,0.0,,kmeans,5,0.45946210622787476,0.9975349426826482
93,raw,umap,2,30.0,0.0,,gmm,3,0.42042455077171326,0.8921158254040239
94,raw,umap,2,30.0,0.0,,gmm,4,0.39320969581604004,0.6742188240501227
95,raw,umap,2,30.0,0.0,,gmm,5,0.45917701721191406,0.684619928918481
96,raw,umap,2,30.0,0.0,,hierarchical,3,0.42662671208381653,0.9129027664560582
97,raw,umap,2,30.0,0.0,,hierarchical,4,0.4593481719493866,0.9356502253972251
98,raw,umap,2,30.0,0.0,,hierarchical,5,0.4765821099281311,0.9835701090016168
99,raw,umap,2,30.0,0.1,,kmeans,3,0.47686636447906494,0.9987715783483141
100,raw,umap,2,30.0,0.1,,kmeans,4,0.46661439538002014,0.9915126088508253
101,raw,umap,2,30.0,0.1,,kmeans,5,0.4864361584186554,0.9901053358725573
102,raw,umap,2,30.0,0.1,,gmm,3,0.47213736176490784,0.7267491872035987
103,raw,umap,2,30.0,0.1,,gmm,4,0.29658952355384827,0.483684695756327
104,raw,umap,2,30.0,0.1,,gmm,5,0.48580077290534973,0.913572682921701
105,raw,umap,2,30.0,0.1,,hierarchical,3,0.43217992782592773,0.9914588706365435
106,raw,umap,2,30.0,0.1,,hierarchical,4,0.46812722086906433,0.9958275843020877
107,raw,umap,2,30.0,0.1,,hierarchical,5,0.4579600989818573,0.9933129798109677
108,raw,umap,2,30.0,0.5,,kmeans,3,0.4433220624923706,0.9936619221362061
109,raw,umap,2,30.0,0.5,,kmeans,4,0.45583856105804443,0.9942012001761233
